GCA_000807975.1|L747_04235	GCA_000833405.1|N624_2101	GCA_002017995.1|LG101_04940	GCA_002117225.1|AZI09_07150	GCA_002117325.1|AZI10_07490	GCA_002117345.1|AZI11_05660	GCA_002117375.1|AZI12_05705	GCA_002532155.1|OJNHFJDN_02015	GCA_003184305.1|CCS05_05705	GCA_006228205.1|UCCLBBS124_1016	GCA_006228225.1|SAC12_1027	GCA_006228245.1|UCCLB556_0915	GCA_006228265.1|UCCLB95_0944	GCA_006228285.1|UCCLBBS449_1461	GCA_006228305.1|UCCLB521_0913	GCA_006538845.1|LBR02_04100	GCA_006538905.1|LBR03_06560	GCA_009741845.1|GII22_05300	GCA_015238595.1|GNY08_04930	GCA_020509325.1|IAX23_01750	GCA_020741515.1|K8V89_06970	GCA_021383565.1|KB236_03110	GCA_021384395.1|LL940_08405	GCA_021384405.1|LL937_11265	GCA_021384415.1|LLM24_11545	GCA_021384445.1|LL939_11805	GCA_021384495.1|LL934_11605	GCA_021384505.1|LL942_08215	GCA_021384515.1|LL938_11375	GCA_021384555.1|LL945_08350	GCA_021384565.1|LL941_11280	GCA_021384595.1|LL943_11540	GCA_021384615.1|LL936_07325	GCA_024330045.1|NMO39_01585	GCA_025194305.1|EFR96_09720	GCA_025194385.1|EFS16_10930	GCA_025194405.1|EFS18_01470	GCA_025194465.1|EFS17_11505	GCA_025194515.1|EFS12_04465	GCA_025194545.1|EFS11_10945	GCA_025447255.1|N7L94_05160	GCA_026410225.1|OSJ94_03145	GCA_026622905.1|HJNLGKMP_01941	GCA_026626025.1|ORR04_01230	GCA_030378305.1|QTN53_04925	GCA_039839865.1|ABGN26_01790	GCA_900116945.1|NDEPAJBD_00380	GCA_900116975.1|HKAJCJDL_01745	GCA_900116995.1|IKIEPMFM_00932	GCA_900117015.1|BBJIONDP_01706	GCA_900117025.1|PHHBCBHJ_02442	GCA_900117045.1|KIFFLEHN_00217	GCA_902386565.1|JIJAMNCH_00290	GCA_925279105.1|FBDNDNPJ_00628	GCF_001010995.1|AAX72_RS01410	GCF_001923045.1|ADT67_RS10745	GCA_023744035.1|NE295_08615	GCF_001636145.1|AWV73_RS04645
GCA_009741845.1|GII22_05995	GCA_002532155.1|OJNHFJDN_02236	GCA_025194465.1|EFS17_09060	GCA_002117375.1|AZI12_06400	GCA_006228285.1|UCCLBBS449_1342	GCA_900116945.1|NDEPAJBD_00551	GCA_021384415.1|LLM24_04575	GCA_002017995.1|LG101_05625	GCA_024330045.1|NMO39_06840	GCA_021384615.1|LL936_03955	GCA_025194515.1|EFS12_06350	GCA_025194305.1|EFR96_07350	GCA_006228205.1|UCCLBBS124_1155	GCA_002117225.1|AZI09_06410	GCA_021384515.1|LL938_04575	GCA_030378305.1|QTN53_05630	GCA_006228225.1|SAC12_1163	GCA_900117045.1|KIFFLEHN_00458	GCA_021384505.1|LL942_04370	GCF_001010995.1|AAX72_RS06990	GCA_900116975.1|HKAJCJDL_01617	GCA_039839865.1|ABGN26_07505	GCA_925279105.1|FBDNDNPJ_00766	GCA_003184305.1|CCS05_06465	GCA_900116995.1|IKIEPMFM_00920	GCA_025194545.1|EFS11_04925	GCA_000807975.1|L747_04805	GCA_021384445.1|LL939_04755	GCA_900117025.1|PHHBCBHJ_01289	GCA_021384565.1|LL941_04560	GCA_002117345.1|AZI11_06355	GCA_006538905.1|LBR03_05410	GCA_021384405.1|LL937_04490	GCA_021384555.1|LL945_04370	GCA_006538845.1|LBR02_14200	GCA_002117325.1|AZI10_06755	GCA_015238595.1|GNY08_05635	GCA_023744035.1|NE295_09285	GCA_021384395.1|LL940_04655	GCF_001923045.1|ADT67_RS06945	GCA_020509325.1|IAX23_04720	GCA_902386565.1|JIJAMNCH_01444	GCA_006228305.1|UCCLB521_1052	GCA_025194385.1|EFS16_03945	GCA_025447255.1|N7L94_05855	GCA_026622905.1|HJNLGKMP_02427	GCA_026410225.1|OSJ94_02045	GCA_020741515.1|K8V89_05905	GCA_006228245.1|UCCLB556_1056	GCA_021384595.1|LL943_03780	GCA_000833405.1|N624_1954	GCA_006228265.1|UCCLB95_1060	GCA_021384495.1|LL934_03975	GCA_025194405.1|EFS18_10060	GCA_026626025.1|ORR04_01935	GCA_900117015.1|BBJIONDP_00079
GCA_021384405.1|LL937_02775	GCA_000807975.1|L747_13510	GCA_900116975.1|HKAJCJDL_01567	GCA_026622905.1|HJNLGKMP_00521	GCA_925279105.1|FBDNDNPJ_01739	GCA_006228285.1|UCCLBBS449_2490	GCA_900116995.1|IKIEPMFM_00957	GCA_900117045.1|KIFFLEHN_00299	GCA_015238595.1|GNY08_11800	GCA_002117225.1|AZI09_12035	GCF_001923045.1|ADT67_RS04425	GCA_023744035.1|NE295_03795	GCA_030378305.1|QTN53_11755	GCA_006228205.1|UCCLBBS124_2505	GCA_002017995.1|LG101_11245	GCA_006538905.1|LBR03_12180	GCA_021384505.1|LL942_02845	GCA_021384565.1|LL941_02775	GCA_003184305.1|CCS05_11820	GCA_021384395.1|LL940_03270	GCA_002117325.1|AZI10_12390	GCA_025194465.1|EFS17_00435	GCF_001010995.1|AAX72_RS05395	GCA_025194405.1|EFS18_04210	GCA_900116945.1|NDEPAJBD_01286	GCA_002117375.1|AZI12_12755	GCA_020741515.1|K8V89_01140	GCA_021384515.1|LL938_02785	GCA_021384415.1|LLM24_02560	GCA_900117015.1|BBJIONDP_01631	GCA_006538845.1|LBR02_11770	GCA_902386565.1|JIJAMNCH_01112	GCA_024330045.1|NMO39_00225	GCA_002117345.1|AZI11_12715	GCA_025194305.1|EFR96_01015	GCA_020509325.1|IAX23_01045	GCA_021384615.1|LL936_09555	GCA_006228225.1|SAC12_2360	GCA_025194545.1|EFS11_01295	GCA_009741845.1|GII22_08485	GCA_039839865.1|ABGN26_04420	GCA_021384445.1|LL939_03135	GCA_006228265.1|UCCLB95_2359	GCA_026626025.1|ORR04_08790	GCA_021384555.1|LL945_02845	GCA_900117025.1|PHHBCBHJ_02293	GCA_006228245.1|UCCLB556_2226	GCA_006228305.1|UCCLB521_2125	GCA_025194515.1|EFS12_01620	GCA_000833405.1|N624_0353	GCA_025194385.1|EFS16_01280	GCA_002532155.1|OJNHFJDN_00565	GCA_026410225.1|OSJ94_02550	GCA_025447255.1|N7L94_12130	GCA_021384495.1|LL934_03535	GCA_021384595.1|LL943_01840
GCA_025194545.1|EFS11_11880	GCA_025447255.1|N7L94_02990	GCA_020509325.1|IAX23_07430	GCA_900117025.1|PHHBCBHJ_01169	GCA_902386565.1|JIJAMNCH_02080	GCA_026622905.1|HJNLGKMP_01237	GCA_026410225.1|OSJ94_05825	GCA_006228245.1|UCCLB556_0537	GCA_024330045.1|NMO39_10710	GCA_006228305.1|UCCLB521_0529	GCA_900116995.1|IKIEPMFM_01788	GCA_009741845.1|GII22_06445	GCA_020741515.1|K8V89_02420	GCA_006228265.1|UCCLB95_1739	GCA_021384615.1|LL936_06375	GCA_039839865.1|ABGN26_02120	GCA_002532155.1|OJNHFJDN_01670	GCA_021384495.1|LL934_06295	GCA_030378305.1|QTN53_02860	GCA_015238595.1|GNY08_02705	GCA_002117225.1|AZI09_09280	GCA_025194515.1|EFS12_07190	GCA_006228225.1|SAC12_0558	GCA_025194385.1|EFS16_14170	GCA_021384405.1|LL937_06400	GCA_025194305.1|EFR96_03215	GCA_925279105.1|FBDNDNPJ_00858	GCA_900116945.1|NDEPAJBD_02585	GCF_001923045.1|ADT67_RS00815	GCA_900117045.1|KIFFLEHN_00901	GCA_021384395.1|LL940_07315	GCF_001010995.1|AAX72_RS10040	GCA_021384515.1|LL938_06735	GCA_000833405.1|N624_1097	GCA_900116975.1|HKAJCJDL_01058	GCA_006538845.1|LBR02_18440	GCA_021384505.1|LL942_06940	GCA_003184305.1|CCS05_03270	GCA_023744035.1|NE295_06595	GCA_025194465.1|EFS17_01785	GCA_006538905.1|LBR03_19710	GCA_025194405.1|EFS18_06820	GCA_026626025.1|ORR04_11205	GCA_002117375.1|AZI12_03165	GCA_006228285.1|UCCLBBS449_0620	GCA_900117015.1|BBJIONDP_01166	GCA_000807975.1|L747_01865	GCA_021384555.1|LL945_07180	GCA_021384445.1|LL939_07480	GCA_002117325.1|AZI10_09625	GCA_021384565.1|LL941_06405	GCA_002017995.1|LG101_02740	GCA_021384415.1|LLM24_06950	GCA_006228205.1|UCCLBBS124_0627	GCA_002117345.1|AZI11_03150	GCA_021384595.1|LL943_06705
GCA_025447255.1|N7L94_07580	GCA_900117015.1|BBJIONDP_01098	GCA_021384405.1|LL937_01730	GCA_026626025.1|ORR04_03600	GCA_021384495.1|LL934_05375	GCA_021384395.1|LL940_02390	GCA_900116975.1|HKAJCJDL_01219	GCA_002117375.1|AZI12_07885	GCA_006228285.1|UCCLBBS449_1037	GCA_015238595.1|GNY08_07575	GCA_025194305.1|EFR96_05265	GCA_000833405.1|N624_1617	GCA_006538845.1|LBR02_17250	GCA_006228305.1|UCCLB521_1312	GCA_002117225.1|AZI09_05005	GCA_002117345.1|AZI11_07835	GCA_006228205.1|UCCLBBS124_1564	GCA_021384565.1|LL941_01510	GCA_000807975.1|L747_06290	GCA_009741845.1|GII22_03585	GCA_026622905.1|HJNLGKMP_02100	GCA_900116945.1|NDEPAJBD_01424	GCA_006228225.1|SAC12_1521	GCA_902386565.1|JIJAMNCH_00780	GCA_900117025.1|PHHBCBHJ_01328	GCA_900116995.1|IKIEPMFM_00646	GCA_006538905.1|LBR03_02800	GCA_021384505.1|LL942_02205	GCF_001923045.1|ADT67_RS05190	GCA_002532155.1|OJNHFJDN_01222	GCA_900117045.1|KIFFLEHN_01834	GCF_001010995.1|AAX72_RS03795	GCA_023744035.1|NE295_10590	GCA_025194515.1|EFS12_03665	GCA_021384415.1|LLM24_01515	GCA_021384615.1|LL936_01255	GCA_002017995.1|LG101_06965	GCA_020509325.1|IAX23_10705	GCA_006228245.1|UCCLB556_1387	GCA_002117325.1|AZI10_05350	GCA_925279105.1|FBDNDNPJ_01106	GCA_025194465.1|EFS17_08200	GCA_025194385.1|EFS16_11890	GCA_021384595.1|LL943_05255	GCA_006228265.1|UCCLB95_1346	GCA_024330045.1|NMO39_09385	GCA_021384555.1|LL945_02205	GCA_021384445.1|LL939_02070	GCA_020741515.1|K8V89_02745	GCA_025194405.1|EFS18_06510	GCA_025194545.1|EFS11_06230	GCA_026410225.1|OSJ94_00420	GCA_030378305.1|QTN53_07390	GCA_039839865.1|ABGN26_04755	GCA_021384515.1|LL938_01740	GCA_003184305.1|CCS05_07795
GCA_002117375.1|AZI12_09850	GCA_021384495.1|LL934_05865	GCA_006228265.1|UCCLB95_0568	GCA_020509325.1|IAX23_05195	GCA_900117045.1|KIFFLEHN_00640	GCA_002532155.1|OJNHFJDN_01448	GCA_002117345.1|AZI11_09795	GCA_025194385.1|EFS16_02525	GCA_026626025.1|ORR04_05545	GCA_006228245.1|UCCLB556_1658	GCA_900116945.1|NDEPAJBD_01854	GCA_002017995.1|LG101_08575	GCF_001923045.1|ADT67_RS02320	GCA_021384615.1|LL936_05365	GCA_021384445.1|LL939_06585	GCA_902386565.1|JIJAMNCH_00120	GCA_020741515.1|K8V89_05200	GCA_021384395.1|LL940_06700	GCA_025194305.1|EFR96_08330	GCA_900117025.1|PHHBCBHJ_01875	GCA_015238595.1|GNY08_09135	GCA_023744035.1|NE295_01155	GCA_925279105.1|FBDNDNPJ_00121	GCA_000807975.1|L747_07855	GCA_006228305.1|UCCLB521_1589	GCA_025194405.1|EFS18_09885	GCA_006228285.1|UCCLBBS449_1884	GCA_021384405.1|LL937_05880	GCA_009741845.1|GII22_01565	GCA_021384505.1|LL942_08640	GCA_000833405.1|N624_2286	GCA_003184305.1|CCS05_09320	GCF_001010995.1|AAX72_RS00595	GCA_025447255.1|N7L94_09190	GCA_006538905.1|LBR03_14270	GCA_021384415.1|LLM24_06340	GCA_030378305.1|QTN53_08930	GCA_006228205.1|UCCLBBS124_1860	GCA_021384555.1|LL945_06405	GCA_025194545.1|EFS11_09140	GCA_039839865.1|ABGN26_00280	GCA_021384515.1|LL938_06115	GCA_021384565.1|LL941_05800	GCA_006538845.1|LBR02_00720	GCA_002117225.1|AZI09_03100	GCA_026622905.1|HJNLGKMP_00018	GCA_002117325.1|AZI10_03070	GCA_026410225.1|OSJ94_08510	GCA_006228225.1|SAC12_1829	GCA_025194465.1|EFS17_06370	GCA_900116995.1|IKIEPMFM_01833	GCA_900117015.1|BBJIONDP_02335	GCA_025194515.1|EFS12_10085	GCA_024330045.1|NMO39_08110	GCA_021384595.1|LL943_06185	GCA_900116975.1|HKAJCJDL_00300
GCA_021384555.1|LL945_06230	GCA_009741845.1|GII22_06795	GCA_025194545.1|EFS11_08470	GCA_006228245.1|UCCLB556_0607	GCA_021384505.1|LL942_06240	GCA_021384395.1|LL940_06440	GCA_020741515.1|K8V89_00325	GCA_900116945.1|NDEPAJBD_00268	GCA_900117015.1|BBJIONDP_02104	GCA_025194305.1|EFR96_02865	GCA_021384595.1|LL943_05935	GCA_015238595.1|GNY08_03055	GCA_900116975.1|HKAJCJDL_00500	GCA_002117345.1|AZI11_03540	GCA_025194515.1|EFS12_07540	GCA_003184305.1|CCS05_03630	GCA_002117225.1|AZI09_08930	GCA_026410225.1|OSJ94_04640	GCA_902386565.1|JIJAMNCH_00962	GCA_023744035.1|NE295_06955	GCA_000833405.1|N624_1186	GCA_024330045.1|NMO39_03085	GCA_900117045.1|KIFFLEHN_00588	GCA_026622905.1|HJNLGKMP_00868	GCA_006538845.1|LBR02_07590	GCA_025447255.1|N7L94_03345	GCA_021384565.1|LL941_05635	GCA_006228305.1|UCCLB521_0599	GCA_006228225.1|SAC12_0629	GCA_021384415.1|LLM24_06175	GCA_002017995.1|LG101_03090	GCA_021384515.1|LL938_05865	GCA_006228205.1|UCCLBBS124_0696	GCA_026626025.1|ORR04_11575	GCA_030378305.1|QTN53_03210	GCA_021384405.1|LL937_05630	GCA_000807975.1|L747_02250	GCA_039839865.1|ABGN26_02475	GCA_002117325.1|AZI10_09270	GCA_020509325.1|IAX23_07995	GCA_025194405.1|EFS18_07435	GCA_021384495.1|LL934_05605	GCA_025194465.1|EFS17_03540	GCA_925279105.1|FBDNDNPJ_00927	GCA_021384445.1|LL939_06420	GCA_006228285.1|UCCLBBS449_0695	GCA_900117025.1|PHHBCBHJ_00151	GCA_900116995.1|IKIEPMFM_00120	GCA_021384615.1|LL936_05200	GCA_002532155.1|OJNHFJDN_01765	GCA_025194385.1|EFS16_03240	GCF_001923045.1|ADT67_RS07280	GCF_001010995.1|AAX72_RS04675	GCA_006228265.1|UCCLB95_1656	GCA_002117375.1|AZI12_03555	GCA_006538905.1|LBR03_09110
GCF_001636145.1|AWV73_RS02020	GCA_006538845.1|LBR02_19180	GCA_006228285.1|UCCLBBS449_0812	GCA_025194305.1|EFR96_04100	GCA_020509325.1|IAX23_10060	GCA_900117025.1|PHHBCBHJ_02644	GCA_000807975.1|L747_02765	GCA_002117345.1|AZI11_04060	GCA_021384555.1|LL945_00010	GCA_006228305.1|UCCLB521_0690	GCA_015238595.1|GNY08_03595	GCA_006228245.1|UCCLB556_0693	GCA_025194465.1|EFS17_06605	GCA_006228205.1|UCCLBBS124_0789	GCA_021384615.1|LL936_08810	GCA_026626025.1|ORR04_12035	GCA_002117225.1|AZI09_08410	GCA_026622905.1|HJNLGKMP_01180	GCA_002117375.1|AZI12_04080	GCA_902386565.1|JIJAMNCH_02399	GCA_025194405.1|EFS18_11310	GCA_002532155.1|OJNHFJDN_01625	GCA_900116995.1|IKIEPMFM_01097	GCA_021384405.1|LL937_11070	GCA_021384395.1|LL940_00745	GCA_021384515.1|LL938_11145	GCA_021384415.1|LLM24_11375	GCA_021384505.1|LL942_00740	GCA_002117325.1|AZI10_08750	GCA_009741845.1|GII22_09340	GCF_001923045.1|ADT67_RS10430	GCA_025194515.1|EFS12_12210	GCA_025194545.1|EFS11_06790	GCA_900116945.1|NDEPAJBD_01703	GCA_925279105.1|FBDNDNPJ_01021	GCA_021384565.1|LL941_11090	GCA_025194385.1|EFS16_13270	GCA_021384595.1|LL943_09365	GCA_025447255.1|N7L94_03805	GCA_006228265.1|UCCLB95_1551	GCA_021383565.1|KB236_01785	GCA_021384495.1|LL934_00790	GCA_023744035.1|NE295_07375	GCF_001010995.1|AAX72_RS11605	GCA_039839865.1|ABGN26_11030	GCA_006228225.1|SAC12_0721	GCA_021384445.1|LL939_00010	GCA_900117015.1|BBJIONDP_01428	GCA_026410225.1|OSJ94_10320	GCA_024330045.1|NMO39_11035	GCA_900117045.1|KIFFLEHN_02176	GCA_006538905.1|LBR03_21220	GCA_030378305.1|QTN53_03660	GCA_003184305.1|CCS05_04095	GCA_900116975.1|HKAJCJDL_02671	GCA_002017995.1|LG101_03610
GCA_000833405.1|N624_1687	GCA_900116945.1|NDEPAJBD_01861	GCA_021384615.1|LL936_12235	GCA_006228285.1|UCCLBBS449_1098	GCA_021384515.1|LL938_11545	GCA_006228245.1|UCCLB556_1327	GCA_024330045.1|NMO39_07530	GCA_902386565.1|JIJAMNCH_00721	GCA_900116995.1|IKIEPMFM_01907	GCA_025194545.1|EFS11_04000	GCA_006228205.1|UCCLBBS124_1504	GCA_021384495.1|LL934_11790	GCA_021384595.1|LL943_11805	GCA_002017995.1|LG101_06670	GCA_021384405.1|LL937_11470	GCA_900116975.1|HKAJCJDL_01827	GCA_925279105.1|FBDNDNPJ_01165	GCA_002117345.1|AZI11_07540	GCA_009741845.1|GII22_03290	GCA_021384415.1|LLM24_11750	GCA_021384505.1|LL942_11810	GCA_020509325.1|IAX23_11000	GCA_006538845.1|LBR02_08320	GCA_030378305.1|QTN53_07095	GCA_025447255.1|N7L94_07285	GCA_002117375.1|AZI12_07590	GCA_021384565.1|LL941_11480	GCA_900117025.1|PHHBCBHJ_01445	GCA_026410225.1|OSJ94_00715	GCA_002532155.1|OJNHFJDN_02089	GCA_002117225.1|AZI09_05305	GCA_021384445.1|LL939_12065	GCA_026626025.1|ORR04_03305	GCA_900117015.1|BBJIONDP_00966	GCA_006228265.1|UCCLB95_1285	GCA_025194465.1|EFS17_13010	GCA_015238595.1|GNY08_07280	GCA_002117325.1|AZI10_05645	GCA_025194405.1|EFS18_07810	GCA_023744035.1|NE295_10295	GCA_006538905.1|LBR03_03400	GCA_003184305.1|CCS05_07500	GCA_039839865.1|ABGN26_09645	GCA_000807975.1|L747_05980	GCA_026622905.1|HJNLGKMP_02160	GCA_021384395.1|LL940_12050	GCA_020741515.1|K8V89_04625	GCA_025194385.1|EFS16_11465	GCA_006228225.1|SAC12_1461	GCA_006228305.1|UCCLB521_1253	GCA_900117045.1|KIFFLEHN_02092	GCA_021384555.1|LL945_11780	GCA_025194305.1|EFR96_04970	GCF_001923045.1|ADT67_RS01460	GCF_001010995.1|AAX72_RS03500	GCA_025194515.1|EFS12_09125
GCA_021384565.1|LL941_09680	GCA_021383565.1|KB236_04580	GCA_006228285.1|UCCLBBS449_1113	GCA_002017995.1|LG101_06605	GCA_025194515.1|EFS12_09060	GCA_003184305.1|CCS05_07435	GCA_006538845.1|LBR02_08450	GCA_021384445.1|LL939_10355	GCA_002117225.1|AZI09_05370	GCA_021384495.1|LL934_09915	GCA_900117025.1|PHHBCBHJ_01460	GCA_020741515.1|K8V89_04690	GCA_025194545.1|EFS11_04065	GCA_000833405.1|N624_1704	GCA_030378305.1|QTN53_07030	GCA_006538905.1|LBR03_03530	GCA_026410225.1|OSJ94_00780	GCA_009741845.1|GII22_03225	GCA_006228245.1|UCCLB556_1314	GCA_900117015.1|BBJIONDP_00981	GCA_021384555.1|LL945_11255	GCA_006228305.1|UCCLB521_1240	GCA_025447255.1|N7L94_07210	GCA_006228265.1|UCCLB95_1270	GCA_925279105.1|FBDNDNPJ_01178	GCA_015238595.1|GNY08_07215	GCA_900116945.1|NDEPAJBD_01876	GCA_021384595.1|LL943_10040	GCA_900117045.1|KIFFLEHN_02107	GCA_020509325.1|IAX23_11065	GCA_021384505.1|LL942_11265	GCA_025194405.1|EFS18_07875	GCA_002117375.1|AZI12_07515	GCA_006228225.1|SAC12_1448	GCA_000807975.1|L747_05905	GCA_025194465.1|EFS17_08920	GCA_025194385.1|EFS16_11400	GCA_025194305.1|EFR96_04905	GCA_021384395.1|LL940_11445	GCA_021384515.1|LL938_09795	GCA_021384415.1|LLM24_10010	GCA_002532155.1|OJNHFJDN_02076	GCA_902386565.1|JIJAMNCH_00708	GCF_001010995.1|AAX72_RS03435	GCA_023744035.1|NE295_10220	GCA_039839865.1|ABGN26_09580	GCA_026626025.1|ORR04_03240	GCA_006228205.1|UCCLBBS124_1489	GCA_021384405.1|LL937_09750	GCA_002117345.1|AZI11_07465	GCA_900116995.1|IKIEPMFM_01922	GCF_001923045.1|ADT67_RS01535	GCA_900116975.1|HKAJCJDL_01842	GCA_021384615.1|LL936_09980	GCA_026622905.1|HJNLGKMP_02173	GCA_024330045.1|NMO39_07595
GCA_021384405.1|LL937_07270	GCA_021384505.1|LL942_07785	GCA_021384595.1|LL943_07720	GCA_925279105.1|FBDNDNPJ_01413	GCA_002117225.1|AZI09_09920	GCA_002117375.1|AZI12_02535	GCF_001923045.1|ADT67_RS08780	GCA_025194405.1|EFS18_12455	GCA_021384445.1|LL939_08095	GCA_900116975.1|HKAJCJDL_01448	GCA_025194385.1|EFS16_09840	GCA_902386565.1|JIJAMNCH_01253	GCA_021384515.1|LL938_07495	GCA_020509325.1|IAX23_05350	GCA_015238595.1|GNY08_02090	GCA_006228205.1|UCCLBBS124_0504	GCA_900116995.1|IKIEPMFM_02592	GCA_021384495.1|LL934_07510	GCA_021384555.1|LL945_08025	GCA_900117045.1|KIFFLEHN_02726	GCA_020741515.1|K8V89_07660	GCA_006228245.1|UCCLB556_0424	GCA_021384415.1|LLM24_07820	GCA_000833405.1|N624_0964	GCA_002017995.1|LG101_02115	GCA_025194465.1|EFS17_02835	GCA_026410225.1|OSJ94_07930	GCA_023744035.1|NE295_06050	GCA_026626025.1|ORR04_06470	GCA_000807975.1|L747_08940	GCF_001010995.1|AAX72_RS06050	GCA_021384615.1|LL936_07215	GCA_900117015.1|BBJIONDP_00593	GCA_900116945.1|NDEPAJBD_00840	GCA_026622905.1|HJNLGKMP_00763	GCA_006228305.1|UCCLB521_0415	GCA_006538845.1|LBR02_14370	GCA_006228285.1|UCCLBBS449_0493	GCA_006228225.1|SAC12_0446	GCA_900117025.1|PHHBCBHJ_02232	GCA_030378305.1|QTN53_02210	GCA_003184305.1|CCS05_02620	GCA_006228265.1|UCCLB95_1861	GCA_039839865.1|ABGN26_06275	GCA_024330045.1|NMO39_06460	GCA_009741845.1|GII22_07765	GCA_025447255.1|N7L94_02365	GCA_025194305.1|EFR96_11065	GCA_025194515.1|EFS12_04850	GCA_002532155.1|OJNHFJDN_00299	GCA_021384565.1|LL941_07260	GCA_006538905.1|LBR03_15850	GCA_025194545.1|EFS11_06960	GCA_002117325.1|AZI10_10270	GCA_002117345.1|AZI11_02515	GCA_021384395.1|LL940_08080
GCF_001923045.1|ADT67_RS04445	GCA_039839865.1|ABGN26_04440	GCA_015238595.1|GNY08_11780	GCA_020741515.1|K8V89_01120	GCA_026410225.1|OSJ94_02530	GCA_025194385.1|EFS16_01260	GCA_026626025.1|ORR04_08810	GCA_025194545.1|EFS11_01315	GCA_024330045.1|NMO39_00205	GCA_900117015.1|BBJIONDP_01627	GCA_925279105.1|FBDNDNPJ_01743	GCA_006228305.1|UCCLB521_2121	GCA_002532155.1|OJNHFJDN_01343	GCA_021384395.1|LL940_03300	GCA_025194515.1|EFS12_01640	GCA_021384505.1|LL942_02815	GCA_002117225.1|AZI09_12015	GCA_021384565.1|LL941_02805	GCA_021384615.1|LL936_09585	GCA_006228245.1|UCCLB556_2222	GCA_900117045.1|KIFFLEHN_00295	GCA_900116945.1|NDEPAJBD_01166	GCA_009741845.1|GII22_08505	GCA_021384445.1|LL939_03105	GCA_002117375.1|AZI12_12735	GCA_030378305.1|QTN53_11735	GCA_006538905.1|LBR03_12220	GCA_025194405.1|EFS18_00195	GCA_002117325.1|AZI10_12370	GCA_020509325.1|IAX23_01025	GCA_026622905.1|HJNLGKMP_00517	GCF_001010995.1|AAX72_RS05415	GCA_006228285.1|UCCLBBS449_2486	GCA_003184305.1|CCS05_11800	GCA_006538845.1|LBR02_11810	GCA_025194305.1|EFR96_05695	GCA_002117345.1|AZI11_12695	GCA_021384495.1|LL934_03565	GCA_025447255.1|N7L94_12110	GCA_006228265.1|UCCLB95_2355	GCA_021384415.1|LLM24_02530	GCA_900116975.1|HKAJCJDL_01563	GCA_006228205.1|UCCLBBS124_2501	GCA_000807975.1|L747_13490	GCA_900117025.1|PHHBCBHJ_02289	GCA_021384595.1|LL943_01810	GCA_006228225.1|SAC12_2356	GCA_023744035.1|NE295_03775	GCA_900116995.1|IKIEPMFM_00953	GCA_021384515.1|LL938_02815	GCA_021384405.1|LL937_02805	GCA_902386565.1|JIJAMNCH_01116	GCA_000833405.1|N624_0349	GCA_025194465.1|EFS17_00455	GCA_021384555.1|LL945_02815	GCA_002017995.1|LG101_11225
GCA_025194515.1|EFS12_01340	GCA_002117225.1|AZI09_02740	GCF_001010995.1|AAX72_RS00930	GCA_900117025.1|PHHBCBHJ_02578	GCA_006228245.1|UCCLB556_1726	GCA_000807975.1|L747_08230	GCA_003184305.1|CCS05_09680	GCA_021384405.1|LL937_04685	GCA_021384415.1|LLM24_04885	GCA_000833405.1|N624_2366	GCA_006228265.1|UCCLB95_0495	GCA_021384595.1|LL943_04260	GCA_021384555.1|LL945_05700	GCA_026626025.1|ORR04_05895	GCA_030378305.1|QTN53_09265	GCA_021384565.1|LL941_04685	GCA_021384505.1|LL942_05515	GCA_015238595.1|GNY08_09480	GCA_006228225.1|SAC12_1899	GCF_001923045.1|ADT67_RS06115	GCA_023744035.1|NE295_01510	GCA_002117375.1|AZI12_10215	GCA_020741515.1|K8V89_11265	GCA_025194385.1|EFS16_01035	GCA_026410225.1|OSJ94_06090	GCA_026622905.1|HJNLGKMP_00085	GCA_900116975.1|HKAJCJDL_00161	GCA_020509325.1|IAX23_09725	GCA_025194405.1|EFS18_00585	GCA_006538845.1|LBR02_01390	GCA_002017995.1|LG101_08920	GCA_002117345.1|AZI11_10160	GCA_009741845.1|GII22_01230	GCA_021384395.1|LL940_05910	GCA_006228285.1|UCCLBBS449_1960	GCA_021384495.1|LL934_04385	GCA_025447255.1|N7L94_09550	GCA_024330045.1|NMO39_08795	GCA_002117325.1|AZI10_02710	GCA_925279105.1|FBDNDNPJ_00189	GCA_002532155.1|OJNHFJDN_00937	GCA_021384445.1|LL939_04950	GCA_006228305.1|UCCLB521_1657	GCA_021384515.1|LL938_04700	GCA_021384615.1|LL936_10580	GCA_006228205.1|UCCLBBS124_1934	GCA_006538905.1|LBR03_14660	GCA_039839865.1|ABGN26_07610	GCA_900116945.1|NDEPAJBD_01335	GCA_025194305.1|EFR96_07995	GCA_025194545.1|EFS11_04885	GCA_900117045.1|KIFFLEHN_00251	GCA_900116995.1|IKIEPMFM_01292	GCA_025194465.1|EFS17_00620	GCA_900117015.1|BBJIONDP_01569	GCA_902386565.1|JIJAMNCH_00188
